NaN	-4	-3	-2	-1	0	1	2	3	4
0	0.99475	1.0011	1.0002	1.0001	1.0001	1.0001	1.0001	1	1.0019
1.0049e-06	0.99613	0.99983	1.0002	1.0001	1.0001	1.0001	1	0.99982	1.0017
2.0097e-06	1.0012	0.99946	1.0001	1.0001	1.0001	1.0001	1.0001	0.99966	1.0005
3.0146e-06	1.007	1.0006	1.0002	1.0001	1.0001	1.0001	1.0001	0.99967	0.99869
4.0195e-06	1.0094	1.0024	1.0002	1.0001	1.0001	1.0001	1.0001	0.99998	0.99708
5.0243e-06	1.0052	1.0024	1.0002	1.0001	1.0001	1.0001	1.0001	1.0004	0.9972
6.0292e-06	0.99775	1.0004	1.0002	1.0001	1.0001	1.0001	1.0001	1.0007	0.99913
7.0341e-06	0.99101	0.99814	1.0002	1.0001	1.0001	1.0001	1	1.0006	1.0023
8.0389e-06	0.98972	0.99827	1.0004	1.0001	1.0001	1.0001	0.99996	0.99997	1.0052
9.0438e-06	0.99599	1.0015	1.0005	1.0001	1.0001	1.0001	0.99997	0.9991	1.0056
1.0049e-05	1.0061	1.0046	1.0003	1.0001	1.0001	1.0002	1.0001	0.9986	1.0029
1.1054e-05	1.015	1.0049	1.0002	1.0001	1.0001	1.0002	1.0002	0.99891	0.99786
1.2058e-05	1.0177	1.0011	1.0005	1.0001	1.0001	1.0001	1.0003	1.0002	0.99269
1.3063e-05	1.0111	0.99606	1.001	1.0001	1.0001	1.0001	1.0003	1.0018	0.99094
1.4068e-05	0.99885	0.99446	1.0008	1.0001	1.0001	1.0001	1	1.0027	0.99396
1.5073e-05	0.98566	0.9978	1.0002	1.0001	1.0001	1.0001	0.9997	1.0021	1.0011
1.6078e-05	0.97792	1.0053	1	1.0001	1.0001	1.0001	0.99953	0.99977	1.0102
1.7083e-05	0.98048	1.0107	1.0011	1.0001	1.0001	1.0002	0.99974	0.99694	1.0161
1.8088e-05	0.99168	1.0104	1.0021	1.0001	1.0001	1.0002	1.0003	0.9953	1.016
1.9092e-05	1.009	1.0034	1.0018	1.0001	1.0001	1.0002	1.0009	0.99613	1.009
2.0097e-05	1.026	0.99274	0.99975	1.0001	1.0001	1.0001	1.0011	1.0003	0.99569
2.1102e-05	1.0358	0.98583	0.99866	1.0001	1.0001	1	1.0006	1.0055	0.98244
2.2107e-05	1.0356	0.98648	1.0001	1.0001	1.0001	1	0.99954	1.0092	0.97402
2.3112e-05	1.024	0.99619	1.0037	1.0002	1.0001	1	0.99837	1.0089	0.97492
2.4117e-05	1.0034	1.0113	1.0057	1.0002	1.0001	1.0002	0.99812	1.0029	0.98746
2.5122e-05	0.98037	1.0241	1.0033	1.0001	1.0001	1.0004	0.99924	0.99397	1.007
2.6127e-05	0.96074	1.0285	0.99782	1.0002	1.0001	1.0005	1.0014	0.98598	1.0279
2.7131e-05	0.94839	1.0223	0.99302	1.0003	1.0001	1.0003	1.0036	0.98271	1.0445
2.8136e-05	0.94879	1.0049	0.99478	1.0003	1.0001	0.99992	1.004	0.98878	1.0497
2.9141e-05	0.9615	0.98381	1.0029	1.0002	1.0001	0.99956	1.0017	1.0024	1.0425
3.0146e-05	0.98396	0.96574	1.0126	1.0003	1.0001	0.9995	0.99758	1.0189	1.0248
3.1151e-05	1.0136	0.95606	1.0184	1.0007	1.0002	0.99993	0.99325	1.0335	0.99875
3.2156e-05	1.0452	0.96191	1.0129	1.0011	1.0002	1.0008	0.99256	1.0371	0.96918
3.3161e-05	1.0722	0.97975	0.9994	1.0006	1.0001	1.0014	0.99663	1.0288	0.94334
3.4165e-05	1.0914	1.0064	0.98298	0.99986	1	1.0014	1.0048	1.0098	0.92543
